"parameter, value"
Algorithm,READ_MODE_LOGGING
Kommentar,Rådata loggning utan optimering

Iteration,Tilt(%),Speed,Power,Efficiency
0,18.64,1.79,-364.63418732665536,-0.004909029548555301
1,18.64,1.77,-364.63418732665536,-0.004854180056392672
2,18.64,1.83,-364.7738136668149,-0.00501680748846606
3,18.64,1.81,-364.6865472042152,-0.0049631663516955735
4,18.64,1.59,-345.12908573806743,-0.00460697190038256
5,18.64,1.6400000000000001,-379.96306508107114,-0.004316208996919425
6,18.64,1.6400000000000001,-379.9190827839208,-0.004316708673811868
7,18.64,1.6500000000000001,-360.6967245341561,-0.0045744801318365
8,18.64,1.61,-342.22415973104813,-0.004704518819668633
9,18.64,1.59,-359.6914148850074,-0.004420455796834405
10,18.64,1.56,-322.47820270568513,-0.0048375362641913475
11,18.64,1.6300000000000001,-339.7569623004289,-0.004797547014087907
12,18.64,1.55,-357.9321229989971,-0.0043304299905050515
13,18.64,1.58,-373.67359658858436,-0.004228289112274594
14,18.64,1.58,-356.21471901503463,-0.004435526988802822
15,18.64,1.74,-357.42946817442277,-0.004868093302119381
16,18.64,1.72,-339.5579947657016,-0.005065408638623918
17,18.64,1.71,-339.597788272647,-0.00503536848310426
18,18.080000000000002,1.71,-341.38849608519325,-0.0050089561294803285
19,16.09,1.61,-360.15218180753385,-0.004470332490892385
20,16.14,1.61,-358.8955447460979,-0.004485984915580384
21,18.17,1.6500000000000001,-376.4004990119003,-0.004383628619864911
22,18.57,1.59,-376.35651671475006,-0.00422471759989505
23,18.57,1.62,-393.86356537565473,-0.004113099414145847
24,18.57,1.67,-411.2365727500063,-0.004060922862070454
25,18.57,1.67,-414.7048910395694,-0.0040269599806592475
26,18.57,1.6500000000000001,-397.78008421713,-0.004148020641222803
27,18.57,1.59,-380.0070473782214,-0.00418413292850717
28,18.57,1.59,-362.28846481197496,-0.004388767941659965
29,18.57,1.61,-363.00055914678865,-0.004435254876147326
30,18.57,1.6500000000000001,-361.91147369354417,-0.004559125973986586
31,18.57,1.61,-361.4925946730655,-0.0044537565187361215
32,18.57,1.67,-380.09501197252195,-0.004393638294102972
33,18.57,1.6500000000000001,-380.1389942696722,-0.004340517612958915
34,18.57,1.67,-342.98023636301207,-0.004869085221086801
35,18.57,1.6500000000000001,-361.0737156525869,-0.004569703992487715
36,18.57,1.72,-341.9456051824298,-0.005030039789756534
37,18.57,1.72,-340.0753103559927,-0.00505770324284787
38,18.57,1.69,-340.67221296017476,-0.004960780291750898
39,18.57,1.68,-341.38849608519325,-0.004921079706156112
40,18.57,1.74,-305.80891208573763,-0.005689827638221896
41,18.57,1.67,-325.19253875838666,-0.005135419177746835
42,18.57,1.72,-307.83838093995666,-0.005587347473528595
43,18.57,1.67,-324.06156540309433,-0.005153341766780386
44,18.57,1.6600000000000001,-323.08138849517434,-0.005138024222725521
45,18.57,1.6500000000000001,-322.2897071464697,-0.005119617423122146
46,18.57,1.6500000000000001,-303.8862573817407,-0.0054296631055851825
47,18.57,1.73,-320.9325391201189,-0.00539054096771563
48,18.57,1.69,-304.2066998324068,-0.005555433200291292
49,18.57,1.6400000000000001,-323.6845742846636,-0.005066660972721258
50,18.57,1.59,-342.14457271715713,-0.004647158326589665
51,18.57,1.6400000000000001,-360.8642761423476,-0.00454464492171866
52,18.57,1.6600000000000001,-344.5321831338854,-0.004818127540076346
53,18.57,1.55,-344.4525961199945,-0.0044998935048236295
54,18.57,1.71,-344.2536285852671,-0.004967267903688792
55,18.57,1.77,-325.6449281005036,-0.0054353679337936014
56,18.57,1.72,-306.8770535879582,-0.00560485047640425
57,18.57,1.68,-324.9663440873282,-0.005169766132915394
58,18.57,1.6400000000000001,-342.14457271715713,-0.0047932953808849385
59,18.57,1.56,-324.6647511925836,-0.0048049564797831845
60,18.57,1.59,-343.33837792552134,-0.004630999917943664
61,18.57,1.53,-361.3250430648741,-0.004234414495663109
62,18.57,1.69,-377.368109549206,-0.0044783858445771405
63,18.57,1.6600000000000001,-359.5238632768159,-0.0046172178527183905
64,18.57,1.6400000000000001,-376.62041049765156,-0.004354517052947204
65,18.57,1.58,-359.1049842563373,-0.004399827541441643
66,18.57,1.61,-377.544038737807,-0.004264403181632797
67,18.57,1.59,-361.24126726077833,-0.004401490483234815
68,18.57,1.58,-361.3250430648741,-0.004372794054344911
69,18.57,1.62,-360.44539712186895,-0.004494439415610758
70,18.57,1.7,-377.89589711500906,-0.004498593430038275
71,18.57,1.71,-358.81176894200223,-0.00476572996767116
72,18.57,1.67,-339.7171687934835,-0.004915853990927391
73,18.57,1.6,-322.5536009293712,-0.004960415866975078
74,18.57,1.68,-305.98693566944104,-0.005490430486270534
75,18.57,1.6400000000000001,-306.9482630214395,-0.005342919956140786
76,18.57,1.68,-325.5318307649744,-0.005160785647449992
77,18.57,1.56,-326.2481138899928,-0.004781636838906031
78,18.57,1.57,-344.21383507832167,-0.004561118235246894
79,18.57,1.62,-361.5763704771613,-0.004480381275640705
80,18.57,1.58,-343.41796493941223,-0.004600807649299164
81,18.57,1.56,-307.5891479227719,-0.005071700385189395
82,18.57,1.59,-325.7580254360329,-0.0048809234948909
83,18.57,1.48,-326.6628041202667,-0.0045306658160416445
84,18.57,1.6300000000000001,-400.23890406733966,-0.004072567617579112
85,18.57,1.6300000000000001,-527.1173593703195,-0.003092290494752734
